Gene	Epi.stratified	T.CD4	Epi.suprabasal	Epi.basal	Epi.upper	Dendritic.Cells	T.CD8	Fibroblast	Glands.duct	Mono.macro	NK.T.CD8.Cytotoxic	Endothelia.Lymphatic	Endothelia.vascular.venous	Endothelia.vascular.arterial	B.CD27pos	B.CD27neg	Glands.mucous	Mast.cell	Muscle
UCKL1	0.782698917338451	0.324018848230577	1.04929426856785	0.60736797342663	0.650758639626452	0.346806905006842	0.172434394105559	0.643403180087762	0.829475871840712	0.209617672203536	0.127011827371065	1.08496325259713	0.463106698963811	0.316381001968327	0.302417672448377	0.300558096698421	0.210706695261189	0.232023952954525	0.590257710322766
PRPF6	1.45164391363344	0.594749222717046	1.8952301985934	1.28236394445002	0.82558635868236	0.965407895989426	0.448895233466489	1.05991346964288	1.5364009155351	0.507781564649616	1.10559887747956	1.61552277788552	1.40990734169995	0.967671905969164	0.530238429534373	0.393400948501639	1.55332746032781	0.48622647750531	1.60754024424518
PLPP2	1.28017460615053	0.17961965567525	1.88251167814456	1.1430356928871	0.506664747179548	0.0456009011468615	0.0241858290950542	0.119476770243061	4.76939470171739	0.0275784344395717	0	0.360174419901734	0.812161643005223	1.42612527877755	0.0113020826181014	0	5.30710045601608	0	0.0529230558438151
TPGS1	1.15932027237277	0.534579862002672	1.54737568068926	1.37380615250828	0.615934957968881	0.901042819127233	0.40661009245295	1.14714064354429	1.49607026141124	0.708423387740846	0.356115850092567	1.00158758846441	1.54625510649613	1.08710066398292	0.319261302945206	0.202197175655707	1.31512614191565	0.501496693863646	2.27514551492653
CDC34	0.610127441698713	0.121562750834691	0.952413274531297	0.435254500208961	0.991077102324794	0.232541439180401	0.10347411075857	0.308958131609993	0.363768265924806	0.204850121815298	0.133329221015772	0.187066863942555	0.367545134376994	0.672227912496017	0.0782615806004141	0.0382970680019893	0.584565419703057	0	0.809452163591032
BSG	4.02301888273859	1.84427002694091	6.62968061407255	5.27496460417731	2.01967781603011	2.86445210640315	1.34963438140554	4.43053241424146	4.74500361857472	2.3429275404145	2.49903362733808	3.86779434936455	4.03029593218383	4.29851235466038	1.03732308946143	0.949347819779071	5.52274901557038	2.71806124694125	6.33377105491154
POLRMT	0.343535306484063	0.129611999443768	0.559848916923363	0.333507167139697	0.17464775832668	0.155978329109287	0.155386919625741	0.0791407951644593	0.390318720792241	0.11261014170258	0.178722256731323	0.203576552792263	0.243331993911806	0.210774759627849	0.0703348973713153	0.129349567633902	0.334260395774266	0.172079926660159	0.50803124031821
RNF126	2.41590108712201	0.981127620211991	3.79431978757881	2.38192298411107	1.11782923816278	1.16815190498265	0.552942429180827	0.44153966321136	1.70113923547565	0.45730906664604	0.944134346457908	1.4012384161482	0.977785471619666	0.761154135107733	0.740440572906463	0.730230549454643	1.22631465561557	0.0903919454866584	1.34934051872027
PTBP1	2.41359258161763	1.07707241389684	4.01006763966674	2.53814753880401	0.96247509565107	1.37711214499727	0.853596712705368	0.804806049649405	1.98111202740282	0.778840478578547	1.22449842757028	2.38168737536359	1.83387579258197	2.24800087701868	1.15154633394523	0.979420738018714	1.69952510622464	0.34200168130853	1.47568315662272
CFD	0.902209683087079	0.19853134844086	0.892205039186988	0.599338796727194	0.885610760240851	0.81155143122565	0.117026249881511	11.5611112468194	2.86895622568076	2.96198284223681	0.180304288370071	0.179414282227707	0.106253690681449	0.200361815967325	0.034905645125636	0.0420889586485	0.0873066558751786	0	0.3758467827305
MED16	0.642903064267693	0.188259710041779	0.765519373333943	0.524957147596999	0.547441903154886	0.220856998405535	0.120085567114479	0.220085864782297	0.834830460411659	0.145522576523502	0.122356150284835	0.410490633364931	0.475739233134879	0.453912674467016	0.14731306621292	0.141875481219744	0.633845192990503	0	0.539415876525751
R3HDM4	1.34429889428277	0.635510469239652	1.50131933100756	1.24534372954059	1.73756700715793	0.820087082468809	0.40451858631926	0.422769637154509	1.09112514886428	0.304554682333291	0.232095784028035	0.895917842055439	0.843688693626832	0.892800313936595	0.50344163474273	0.529932511322085	0.832827638425125	0.1704038883652	1.01750505210176
WDR18	1.55641803682649	0.343711445831722	2.87449427784678	1.74343382791491	0.244388473331527	0.678775839497617	0.227147635522052	0.799721870364506	1.07893796521852	0.281956909485918	0.132309958146532	0.504647168019477	0.713089557168569	0.930022232355784	0.0999861834545901	0.198410740649792	1.28492143412289	0.162330356046966	0.853345079805851
TMEM259	1.42794764897914	0.541858431206749	1.81944063659475	1.01316204608841	0.911769319967202	0.817597412042621	0.259415235942639	0.757422129732962	0.989276855643642	0.45372899375624	0.586945035241566	0.956477530562967	1.25562449241382	0.65084208694808	0.49340895655135	0.245092213092628	1.22596636404729	0.171750772830315	1.03910055241607
CNN2	2.72385886893918	1.40351680789134	3.53922238522708	2.74393027304577	2.36905119941037	2.35783977476939	1.14735493777626	0.427011637484123	3.20666046429896	0.991334958988122	0.923423131306134	0.215375976190403	0.951705402701349	0.741553381637918	1.2452426327863	1.66007061709965	1.33677011588459	0.0724767164930645	2.46352157899459
POLR2E	3.9109484742808	1.40955878630852	5.63614151539509	3.67302484295317	1.29192366977116	2.84558305585221	0.990677203788208	2.65021436426708	3.16276421204093	2.01954339609002	1.00500477002626	2.27993876283725	2.40844433842603	2.57460454409464	0.883972416441916	1.04376141712743	3.10303793440869	1.4499567847993	3.61750415620005
GPX4	4.57035841729523	3.35622325553674	7.43052421137678	7.68681153828001	2.56540866039657	6.18714823886971	2.26468793519417	7.18114059626573	8.46664625644496	5.93155411558975	2.90082627900067	4.39492903330109	4.49752582067845	4.49176385596235	3.57302744213309	2.66971632561884	7.72981515721757	5.35021081928121	6.82823236702596
SBNO2	0.518088045589259	0.13189212136543	0.571341481580799	0.342886714837121	0.482752423121385	0.204049702737721	0.0852274035261601	0.0842175674106545	0.382229407274526	0.245080087206	0.0525248097516284	0.416343392755972	0.671763137482527	0.435045010863585	0.0348252474863308	0.039491173771218	0.309597501234651	0	0.114405158290632
