Gene	Central_venous_LSECs	Cholangiocytes	Noninflammatory_Macrophages	CD3_alphabetaT	Inflammatory_macrophages	NK_like_cells	T_cells_1	Hep_5	Portal_endothelial_cells	T_cells_2	Periportal_LSECs	Hep_6	Mature_B_cells	Stellate_cells	Antibody_secreting_B_cells	Erthyroid_cells	Hep_2	Hep_3	Hep_1	Hep_4
PPP1R16A	0.260802298752476	3.78851275750049	0.178593702965713	0.194052861654773	0.119637680811235	0.136057974880617	0.152602249352072	3.2163473871125	0.693369522199433	0.245467242110524	0.471810843863894	2.37853389188464	0.275688529622668	0.760212116941748	0.186404192143862	0.0755171532334064	3.95668780765591	1.744617582564	3.71511271473467	1.70986044730023
GPT	0.330517676332554	1.32615520152264	0.288707617636558	0.349832710821014	0.363936912195789	0.371803316845906	0.404090111353482	5.51047365869716	0.472557331275886	0.257972630991743	0.453071523243666	1.79692589292056	0.12370474687614	0.675433797232255	0.603305530226225	1.20617270911146	2.65079594578994	2.89832732856308	3.70794163222761	4.16653118992336
C8orf82	0.20920882942267	0.755391003334089	0.372878448466636	0.164969194536759	0.299897698175748	0.493885585498106	0.219122413473191	1.53197542775696	0.340878309141164	0.900858823020797	0.366319634085998	0.89260215586565	0.257470938877694	0.436701432970246	0.39379047118083	0.137736710458684	1.70089026279689	0.569604921873307	1.55896885424567	0.922938760718272
RPL8	9.21284202069674	10.5959705879669	9.51365135677097	10.9610813695246	10.654207440756	10.5695101180402	9.59503385139552	7.8285134493839	10.6286478970199	10.7888455340268	10.8562040793005	8.27822971494762	11.7703596700403	10.4079214654089	10.6440189643443	5.84901283840652	8.77508649852705	6.29066400947077	8.63903413510894	5.69064614200024
COMMD5	0.634946320191539	0.892237276877042	0.628840563614457	0.45509431547052	0.714585844646058	0.767114146297883	0.566989261760498	0.671815954267492	0.673956216389098	0.720476077214584	0.726092667989806	0.321903933455216	0.130440381170279	1.34757420833101	0.555993477246861	0.145620452177417	0.352929451870211	0.17861877253239	0.517464910621138	0.301563816652096
C8orf33	0.792572915827205	1.72569234335	0.382141843927109	0.76088154445025	0.500078782065638	0.765821849518141	0.481019221975476	1.33565267271203	1.33120854473397	1.30390108422947	1.19960256328677	1.29788677551287	0.524379264710174	0.768843563815874	1.22461960326021	0.107200513715982	1.92144433585752	0.495768997937539	1.45906841249647	0.745791004075321
WASH1	0.72871076630977	1.02777512314685	0.793827352821548	0.819703786215042	0.795984937312804	0.767115617865909	0.396748656553454	1.00096052678976	0.863154898542604	1.23666272385836	0.759849598881866	0.196894708646623	0.516161351707408	0.79869393680945	0.542667074268346	0.385296125639764	0.321224434468874	0.308218118355236	0.300478440280341	0.308205288786353
CBWD1	0.495981017892664	1.08104335266141	0.508950804629299	0.497976662854363	0.556149640922266	0.420258561464802	0.203875229042323	0.865848745390456	0.633632171763188	1.03827152067396	0.68728111079045	0.392766628080223	0.458501150826141	0.61091129817749	1.0554912985829	0.481807684190359	0.417256251850204	0.243376297339554	0.388096966564216	0.277915745441549
DOCK8	0.136236033885602	0.698083838851597	2.85007397743364	1.55682423035402	1.86084370345742	2.30495193285865	1.34403466734415	0.237317595617394	0.031922825111346	3.54561806747416	0.0679502002866529	0.0518291570947558	1.66908024151791	0.421683016544926	1.31809912925172	0.245420626719315	0.0336697529547213	0.0668651915868223	0.0225433640521318	0.037197397346536
KANK1	0.108153062726383	0.974253247307461	0.232134501643024	0.0719129126578429	0.079377991049027	0	0.127791908530434	2.15730449218043	0.777788859897289	0	0.996083117336208	0	0	1.69563774298862	0.44133309564544	0.159754797643856	1.94922790250694	0.505695377405198	1.38051049127847	1.21985040812332
SMARCA2	0.829015067796641	1.13954667121327	1.50839968867369	1.01754760445496	0.973201344426737	1.19804931394092	1.02217571990592	1.61152140921044	1.47618279265832	1.69575025778806	1.31674904019311	0.111227969212005	0.470971217764282	0.780209023670621	0.68645223116104	0.232202259072098	1.50107911696516	0.562466837746642	1.21877653576477	1.15100727421914
PUM3	0.526694215395401	0.719579846304929	0.209649722494115	0.364862391531232	0.420655894036645	0.485930751801591	0.278821956933231	0.554007861058101	0.4857495699327	0.499460094486667	0.615983584505559	0.266322184171939	0.435362632274211	0.611219350056805	0.702486119726123	0.166409941557853	0.502270005086159	0.16862193022309	0.664872586167207	0.31886283561851
SLC1A1	0.0882949640256233	1.19491817278016	0	0.0086987341299701	0.01972650696783	0	0	1.94819071424669	0.0207576933895563	0	0.0720307452833682	0.271099858189649	0	0.211203155602784	0.0840994084325402	0.0753315282494394	1.44726058084553	0.978023968542958	1.20575985804379	1.00513115858995
CDC37L1-AS1	0.214551309240771	0.350328596991993	0.0756539424810602	0.216074527801978	0.221339011772002	0.119561882649231	0.0719741267767798	0.841301166884656	0.157572765956978	0	0.285661751154472	0.429218377446987	0.272766679869427	0.187146635656522	0.240671161341411	0.161988566371221	1.57924633594331	0.257591023570355	1.31670290325054	0.415246965605686
CDC37L1	0.391802353076026	1.00647442085246	0.379684696354986	0.503947105837799	0.265673397442294	0.226963899022099	0.352366300725056	2.53493725863721	0.632187062180756	0.487851209093849	0.582116352907824	1.28746510936659	0.0659795454975086	1.30778210623988	0.230600431233653	0.162726920936771	2.02446197155798	0.682040315575545	2.38952843238393	1.22818947208374
AK3	2.1029292034855	2.49379367731147	1.39031641135657	0.707291669220762	0.806551441549034	0.898903210701535	0.737208001298903	4.60803873322174	2.14915119185948	1.69104401519232	2.30071315000939	2.91854227458237	0.275296635214443	1.53587927448286	1.10637738991225	0.820491979617077	5.4570079129494	1.83376047663204	4.70873632153136	3.105690235461
RCL1	0.495409826622186	0.489533402651322	0.329530591464506	0.277879260401775	0.217297687734648	0.323052977573197	0.0922438371449583	3.65447271447016	0.533195579534422	0.409450191048694	0.426923681443964	2.8230985979072	0.333245396230118	1.11654079953823	0.395199093528886	1.24810849157227	3.74822295731227	0.485397241966056	3.47230457997175	2.47802303774368
PLGRKT	0.489645731194211	0.859821786733089	0.511251254273994	0.625797542972205	0.423086777618751	0.597338510377951	0.389933892964437	1.06460565147476	0.570206907750676	1.5245052996427	0.388968902348952	0.28147893415757	0.396222762978668	1.22639307848909	0.666729512535575	0.168032231639248	0.514225643880035	0.269017166307861	0.807983274924424	0.275260410357781
KIAA2026	0.86532489566713	1.2141721531688	0.501539844671967	0.846409900149616	0.565320266190796	1.12071950822873	0.811991074353487	0.533206459719852	0.889606319294101	1.49044164059721	0.829026907289619	0.0596511991446959	0.5446272514328	1.04263400723237	0.293412828243556	0.310556512687967	0.5005549683515	0.182276459140651	0.364932674730307	0.388827315006735
IL33	6.59630969907261	0.153604687473965	0.51868525649492	0.142890861493088	0.45747146828066	0.101787486481012	0.0341658948910922	0.297922672369716	5.53447477580678	0.152588268126198	7.08174640880798	0	0.10452248083129	1.67308016736848	0.160113359479318	0.181761749035054	0.0642601051333659	0.195364926295343	0.0282849426862795	0.0694603000613097
