gene	delta	alpha	gamma	ductal	acinar	beta	PSC
LAT2	1.41360562481217	1.94682578937461	1.94017216705429	0.0646903216647194	0.0812900548296821	0.127162964564211	0.220564601839213
EIF4H	5.5234419709014	5.68737523554613	4.71417180030159	6.36749758915352	6.28088720771957	6.29371947911088	6.37019690343832
GTF2I	4.19151808851954	4.17050257061056	4.13761460777501	4.90146084933065	4.05349478955834	4.12158675583054	3.98909130003886
LOC101926943	0.95444055344238	0.810731006242263	0.888401539607656	1.07153607619664	0.771906282078118	0.81450242837721	0.663048070940386
GTF2IRD2	0.648926532448319	0.446700958824718	0.587893127590141	0.534114877016189	0.269487958307495	0.390111961168398	0.362341617927498
STAG3L2	0.747087811029694	0.715678782919751	0.539501550259469	0.448106689169738	0.317404025297715	0.533357052314761	0.414446367338259
GTF2IRD2+GTF2IRD2B	0.342585853866242	0.340843410533971	0.390710309504305	0.405992644155513	0.205831002452616	0.271969616031453	0.25680863371754
NSUN5P1	0.997788415000003	1.55152365946537	1.40255234641805	1.36549007282163	1.9869868653723	0.969043919482806	0.780766334682084
TMEM120A	3.32243554400378	3.18206715829454	2.1858190434344	5.65425202813561	4.76579270722395	2.84869572194305	4.73716965086544
RHBDD2	8.06571054085705	8.30929183135102	7.7933136275955	6.99824694324535	5.88085119885118	8.76361636117336	7.05465270097155
POR	6.06739595973261	4.98582914039986	3.44545120747358	6.56849695309963	4.82408300617396	5.54292109238007	5.79070016838988
MDH2	7.53646869519842	8.04873111403118	6.93740708153734	8.33900249507579	8.17610291748972	8.09779531419087	7.88564483228874
YWHAG	4.23914717848669	3.73555862180586	4.04586493765287	5.02272550443556	4.86779359111232	4.225754244327	4.65682662904816
HSPB1	5.56144091464506	7.08154989710519	6.9232790621997	9.28651863742311	9.15483542301094	4.30352540534785	7.06420564228005
ZP3	0.341784903062218	0.477971062460128	0.2177311495957	0.35005496128989	0.728417647590069	0.643982311296605	0.224096589406684
DTX2	0.760183190456252	0.63321512891053	0.689227129639364	2.58541679394613	2.19125321625432	1.0595341184818	1.31684653318451
POMZP3	0.6257589886193	0.739399062018979	0.615541054412707	0.660441324474769	0.468497377779735	1.01167501869057	0.665102108455763
LOC100133091	0.245520167584745	0.195525415998734	0.148310681409157	0.329612783380389	0.230702539676077	0.336534817316888	0.223925181152021
DTX2P1-UPK3BP1-PMS2P11	0.0834843960942399	0.0979835642973305	0.098369543118222	0.511769450690603	0.412850718592075	0.147330586948826	0.401543115942533
GSAP	2.29574461152914	2.19075707376364	1.89739044006777	2.2206357555741	2.10230072431363	1.32346180367721	0.440433938923241
APTR	2.13591959726319	2.31134916409759	1.52409184253532	2.14699819598747	3.33034952420825	1.46365889998984	0.713856764079416
TMEM60	4.04095718100382	4.81186965821986	3.99137196640312	3.48290979241387	3.37099804926423	4.23207595155302	4.44394356386776
MAGI2-AS3	3.37351158221816	4.11174679932947	3.901222401742	0.120659417427578	0.386772394443402	3.77654630348037	3.88894034214866
CD36	0.206424739941228	2.71893336526712	1.8502935439556	0.0708889583197763	0.0920432602350979	0.191856493717299	0.383277393999455
DMTF1	3.36073446916769	2.96001780324583	3.43990179079909	2.98009979463983	2.70482143605446	2.24577446239974	3.21100741125901
TMEM243	1.02955153175787	1.48223409081292	1.12214517522977	3.13795617225887	3.34737062952594	1.46231966748741	3.91924518357564
CROT	1.685830397266	1.24021074082424	1.00543636295735	2.06282111393564	1.28038766621386	0.972790764026066	0.462347717883979
TP53TG1	3.8676267298949	4.32354731836035	4.11878414540335	3.76290259130875	3.08539142903304	3.59530934677542	2.53646252048041
SLC25A40	0.780424150638387	1.13801942929849	0.919448677708794	1.88006729443611	1.44201011359472	1.4519091296427	1.12347450441335
DBF4	0.156165941349843	0.809062919453029	0.359728411136526	0.878690669779276	1.18863919988017	0.630508269431884	0.889076186464243
STEAP4	0.0332423839270047	0.0155365660812735	0.0912457627358341	1.78108836328185	1.621711986828	0	0
SRI	5.99886485599597	5.87465446236231	5.64363710467532	7.45072391618356	7.13571576049973	6.48928554833142	7.68940108280694
LOC102723885	0.853183245524646	0.966748543723314	0.954657127699943	1.64441195268187	1.67632852942738	1.25717846988297	1.89348817335989
STEAP2	2.86807373249587	2.38735814810026	3.68324121909171	1.19445883101858	2.15159234021808	2.22716503717925	3.03054674669078
CLDN12	2.18989872009711	3.16153508431358	3.20162728132651	5.46390364598607	4.98852396374079	4.13912243184587	3.25605055955506
GTPBP10	1.82850853484464	1.66048243904266	1.65936885822095	2.85944296266473	3.17119695968844	2.1259756636982	1.84463599219792
FZD1	0.338123143279668	0.681478377341365	0.556120493241864	1.61527437234747	0.876636353317072	0.615204148573406	1.77541613634197
MTERF	1.0767184505203	0.837207461795384	0.845277041666088	1.68026660101703	1.6521641492869	1.05042763767058	1.1632016931445
KRIT1	2.95902146017966	2.76688239490125	3.12253338839062	3.03260145532474	3.04473247496587	3.26697633186903	2.95647641967413
CYP51A1-AS1	0.372272713191651	0.346149860677747	0.29977353522048	0.152722955594688	0.253051166289319	0.305801434165125	0.15144569677048
GATAD1	2.17752417232978	2.96651231300497	3.25945444407898	3.81186245573631	3.7071610169411	2.67211022364204	2.80374456638297
RBM48	1.68015270778246	1.55768282102683	1.76748117924332	2.33012768597399	1.35522699009308	2.31616412992913	2.40469422902346
FAM133B	0.492506495740308	0.348601778100569	0.441748921805172	0.308011206524084	0.219693852584821	0.183470484963344	0.232323761746899
SAMD9	1.85316782449915	0.681221790081781	1.00880999248786	2.58088155533965	1.67876882494916	0.845334729570213	1.78853094958811
SAMD9L	0.233343849007045	0.0259974169819337	0.139054411934505	1.79759146629317	0.715773141802235	0	1.25208470845761
HEPACAM2	7.9909363707804	6.25590356587037	6.66833592177677	0.208814602335062	0.322019962416327	6.91930512460032	0.320171033980964
GNG11	0.133120329636106	0.0394167551301605	0.0479123497155866	3.24705455813788	0.0781824245057887	0.0349478004524084	7.74459276998263
TFPI2	0.0665441361969877	0.0763869544247176	0.0334552770687773	5.50991183591498	0.305221076354642	0.0365175705257003	2.10014832950698
